id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,updated_on,x_coordinate,y_coordinate,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
13347694,JH127403,2024-01-23T00:00:00.000,058XX S NORDICA AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,0811,008,13,56,11,2024,2024-01-30T15:41:33.000,1130387,1865044,41.785944074,-87.797487793,"{'latitude': '41.785944074', 'longitude': '-87.797487793', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",35,22268,53,589,15,7,13,131,13
13345716,JH124913,2024-01-23T00:00:00.000,025XX E 76TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,0421,004,7,43,05,2024,2024-01-30T15:41:33.000,1194605,1855065,41.75722149,-87.562362854,"{'latitude': '41.75722149', 'longitude': '-87.562362854', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,22538,39,245,37,24,19,225,5
13346460,JH125829,2024-01-23T00:00:00.000,0000X E ROOSEVELT RD,0460,BATTERY,SIMPLE,CTA TRAIN,False,False,0123,001,4,32,08B,2024,2024-01-30T15:41:33.000,1176818,1895074,41.867428687,-87.626342565,"{'latitude': '41.867428687', 'longitude': '-87.626342565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14913,38,374,10,35,22,144,34
13351555,JH128814,2024-01-23T00:00:00.000,022XX N SPRINGFIELD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,2525,025,35,22,26,2024,2024-01-30T15:41:33.000,,,,,,,,,,,,,,
13346251,JH125619,2024-01-23T00:00:00.000,070XX S DANTE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0332,003,5,43,08B,2024,2024-01-30T15:41:33.000,1187178,1858529,41.766906442,-87.589471463,"{'latitude': '41.766906442', 'longitude': '-87.589471463', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22260,39,416,33,60,18,212,3
13345466,JH124612,2024-01-22T23:55:00.000,014XX W WARNER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1912,019,47,6,14,2024,2024-01-30T15:41:33.000,1166001,1927660,41.957084339,-87.665121229,"{'latitude': '41.957084339', 'longitude': '-87.665121229', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13,21186,57,650,18,53,5,8,47
13346186,JH125629,2024-01-22T23:49:00.000,096XX S PRINCETON AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,False,False,0511,005,9,49,04A,2024,2024-01-30T15:41:33.000,1175985,1840997,41.719054754,-87.631022427,"{'latitude': '41.719054754', 'longitude': '-87.631022427', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21861,45,568,13,19,10,250,11
13346504,JH124614,2024-01-22T23:41:00.000,003XX W CERMAK RD,0850,THEFT,ATTEMPT THEFT,SMALL RETAIL STORE,False,False,0914,009,11,34,06,2024,2024-01-30T15:41:33.000,1174359,1889753,41.852882701,-87.635528609,"{'latitude': '41.852882701', 'longitude': '-87.635528609', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,21194,35,3,26,40,23,157,7
13345420,JH124621,2024-01-22T23:40:00.000,115XX S LA SALLE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0522,005,9,53,08B,2024,2024-01-30T15:41:33.000,1177331,1828250,41.684044939,-87.626475686,"{'latitude': '41.684044939', 'longitude': '-87.626475686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45,21861,50,255,22,19,10,267,11
13345425,JH124615,2024-01-22T23:39:00.000,038XX S VINCENNES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,0212,002,4,35,08B,2024,2024-01-30T15:41:33.000,1180774,1879690,41.825123682,-87.61229385,"{'latitude': '41.825123682', 'longitude': '-87.61229385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,4301,1,561,10,36,24,101,9
13346009,JH125446,2024-01-22T23:30:00.000,002XX W 117TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0522,005,9,53,14,2024,2024-01-30T15:41:33.000,1176577,1827352,41.681597633,-87.629262697,"{'latitude': '41.681597633', 'longitude': '-87.629262697', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45,21861,50,255,22,19,10,267,11
13345441,JH124601,2024-01-22T23:30:00.000,012XX N ROCKWELL ST,0320,ROBBERY,STRONG ARM - NO WEAPON,STREET,False,False,1423,014,26,24,03,2024,2024-01-30T15:41:33.000,1158838,1908373,41.904309724,-87.691984937,"{'latitude': '41.904309724', 'longitude': '-87.691984937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,21560,25,302,49,4,7,62,26
13345391,JH124602,2024-01-22T23:30:00.000,031XX W IRVING PARK RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1733,017,33,16,06,2024,2024-01-30T15:41:33.000,1154535,1926422,41.953924785,-87.707307,"{'latitude': '41.953924785', 'longitude': '-87.707307', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2,21538,16,116,20,39,1,13,33
13345702,JH124980,2024-01-22T23:30:00.000,014XX W 90TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2222,022,21,73,14,2024,2024-01-30T15:41:33.000,1168328,1845066,41.730388684,-87.658950778,"{'latitude': '41.730388684', 'longitude': '-87.658950778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,72,195,13,59,9,244,21
13345383,JH124608,2024-01-22T23:25:00.000,014XX W THOME AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,2433,024,48,77,14,2024,2024-01-30T15:41:33.000,1165532,1941641,41.995458694,-87.666445269,"{'latitude': '41.995458694', 'longitude': '-87.666445269', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",46,4451,76,536,16,14,11,50,48
13345462,JH124606,2024-01-22T23:22:00.000,004XX W FULLERTON PKWY,1570,SEX OFFENSE,PUBLIC INDECENCY,APARTMENT,False,False,1814,018,43,7,17,2024,2024-01-30T15:41:33.000,1173075,1916244,41.925604131,-87.639455017,"{'latitude': '41.925604131', 'longitude': '-87.639455017', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",51,21190,68,101,34,16,5,178,43
27950,JH124572,2024-01-22T23:16:00.000,017XX W 45TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,False,0924,009,15,61,01A,2024,2024-01-30T15:41:33.000,1165289,1874857,41.812203965,-87.669240956,"{'latitude': '41.812203965', 'longitude': '-87.669240956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",29,14924,59,706,3,37,23,108,15
